Name,School,Score
Doroland Dorceus,Memphis,-0.2798943073
Brandon Holloway,Mississippi State,-0.2812276872
Darrel Williams,LSU,-0.2879451431
Josh Bell,UTEP,-0.2896712715
James White,Texas A&amp;M,-0.2911309715
L.J. Scott,Louisville,-0.305845011
Lavon Coleman,Washington,-0.3099569054
Brandon Williams,Texas A&amp;M,-0.3134362873
Silas Nacita,Baylor,-0.3134767699
Ashton Shumpert,Mississippi State,-0.3177899166
Nate Carter,Brigham Young,-0.3209199048
Phillip Lindsay,Colorado,-0.3212473214
Devondrick Nealy,Iowa State,-0.3228629286
Taquan Mizzell,Virginia,-0.3288000677
Deontae Cooper,Washington,-0.3433677358
Shai McKenzie,Virginia Tech,-0.3435115775
Jamal Morrow,Washington State,-0.3469565854
Khalfani Muhammad,California,-0.3475795144
Tyren Jones,Alabama,-0.3514726888
Luke Turner,Rice,-0.3572724081
Mikel Horton,Kentucky,-0.365876683
James Flanders,Tulsa,-0.3702371046
Devan Demas,Boise State,-0.3704447719
Ron Johnson,Connecticut,-0.3720360436
Adonis Ameen-Moore,Syracuse,-0.3726244473
Anthony Scott,East Carolina,-0.3775192505
Jamie Gilmore,Temple,-0.3917487315
Chris Streveler,Minnesota,-0.3958369142
Adam Lane,Florida,-0.3986439511
Xavier Hall,New Mexico State,-0.4050262726
Jeffery Wilson,North Texas,-0.4072512134
Daz'Mond Patterson,Ohio,-0.4093804323
Cam Boyd,Old Dominion,-0.4195002238
Jordan Johnson,Buffalo,-0.4267937829
Brandon Betancourt,New Mexico State,-0.4274666106
Cam McDaniel,Notre Dame,-0.4293021404
Marc Remy,Toledo,-0.4483835624
Marcus Caffey,Georgia State,-0.4508640443
Saylor Lavallii,Central Michigan,-0.4512220304
I'Tavius Mathers,Ole Miss,-0.4532316128
Horactio Banks,Ball State,-0.466689967
Elijah Hood,North Carolina,-0.4671525407
Treyvon Green,Northwestern,-0.469093052
Bubba Poole,Utah,-0.4747612566
Tony Moore,Florida Atlantic,-0.4827128484
Vic Enwere,California,-0.4849769877
Jarred Craft,Louisiana Tech,-0.485331144
Dontravious Wilson,UCF,-0.4880883104
Keyante Green,Purdue,-0.4885515327
De'Andre Mann,Kansas,-0.4914305663
Sam Craft,Memphis,-0.4946880497
Sam Rogers,Virginia Tech,-0.4997981725
Blake Martin,Louisiana Tech,-0.5117069559
Deantre Lewis,Arizona State,-0.5132476685
Gerard Wicks,Washington State,-0.5140215098
Effrem Reed,Louisiana,-0.51504848
Barry Sanders,Stanford,-0.5160177079
Marcus Outlow,Boston College,-0.5180626404
Darevon Chance,Western Michigan,-0.5217910884
Max Delorenzo,Connecticut,-0.5229291294
Andrew Allen,New Mexico State,-0.5236909697
Joe Hubener,Kansas State,-0.5266938253
Andrew Buie,West Virginia,-0.5269600163
Rennie Childs,Oklahoma State,-0.530764137
